model,seed,fold_id,train_rmse,test_rmse,train_r2,test_r2
CatBoost,72,1,2.2955235260762326,4.233586672580993,0.9983162886027899,0.994087344639858
CatBoost,72,2,2.321008920086923,5.522991589742994,0.9982904955980244,0.9896267794499181
CatBoost,72,3,2.3473635852862857,4.631152430574137,0.9982193546266082,0.9932326206878164
CatBoost,72,4,2.5053606767094565,5.192249497335869,0.9979657962945524,0.991592675151903
CatBoost,72,5,2.307123601685886,6.275494762600814,0.9982767935112107,0.9876732050242446
XGBoost,72,1,1.4373675251709495,5.095658273654768,0.9993398542790322,0.9914342332189054
XGBoost,72,2,1.028226573873471,7.047109153153134,0.9996644986655856,0.9831116646282657
XGBoost,72,3,1.6059023546879097,5.259573169705139,0.9991665971538791,0.991271424544294
XGBoost,72,4,1.3357246083254881,6.183814412381628,0.9994217870926116,0.9880749662550874
XGBoost,72,5,1.4335703924476852,6.2277067642643145,0.9993346753056382,0.9878602277149255
LGBM,72,1,3.536378110711678,5.841801842024305,0.9960040362204232,0.9887420504713564
LGBM,72,2,2.815255355905351,6.9701162322731935,0.9974849177564632,0.9834786744613548
LGBM,72,3,2.5832244181376462,5.977229790418641,0.9978435421000182,0.9887269282113842
LGBM,72,4,3.2027724782357923,9.041390651020935,0.9966756548834012,0.9745072204279166
LGBM,72,5,2.8724360681520404,6.282186521926156,0.9973288619119769,0.9876469021021291
RFR,72,1,3.0580631047063753,6.67540131663155,0.9970118868299509,0.9852998957466225
RFR,72,2,2.3367002341568712,7.070729269513455,0.9982673030595635,0.9829982640973474
RFR,72,3,2.5205487728051774,5.200030216620803,0.9979469150452578,0.9914679360372439
RFR,72,4,2.9793078687348764,7.101239342633754,0.9971233654309188,0.9842741176081501
RFR,72,5,2.40623905943601,6.3607365436269605,0.9981255531014397,0.9873360541330152
GBR,72,1,4.976925425567581,7.570910619432867,0.9920854464448196,0.9810912903683338
GBR,72,2,5.106123385637245,8.690926319957395,0.9917263105769958,0.9743139700801053
GBR,72,3,5.346767009480739,6.088522429701131,0.9907615475277906,0.9883032235789065
GBR,72,4,5.085643181259042,7.450298217730146,0.9916180377651667,0.9826901208376542
GBR,72,5,5.13696735499166,7.871958956199915,0.9914570235543558,0.9806036562676511
BRT,72,1,5.623543594862872,10.30488610770586,0.9898952799018773,0.9649690393500542
BRT,72,2,4.713983779501711,7.681097584419998,0.9929483171441955,0.9799362820860752
BRT,72,3,5.049236789874282,5.429880329985639,0.991761119849225,0.9906970029235992
BRT,72,4,5.29797744539659,9.91301494628655,0.9909035038919906,0.9693550974697809
BRT,72,5,4.400359912418223,6.948808113123124,0.9937313792425988,0.9848861583434669
